budget,id,original_language,original_title,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count
42000000,46528,en,The Warrior's Way,7.349497,2/12/2010,11087569,100,Released,The Warrior's Way,6.3,136
33000000,27936,fr,Micmacs à tire-larigot,7.663515,28/10/2009,14000000,100,Released,Micmacs,6.8,148
41000000,65,en,8 Mile,32.798571,8/11/2002,215000000,110,Released,8 Mile,6.8,1626
0,280391,fr,Pourquoi j'ai pas mangé mon père,5.794466,8/04/2015,0,100,Released,Why I Did (Not) Eat My Father,5.3,125
65000000,9476,en,A Knight's Tale,36.670399,11/05/2001,117487473,132,Released,A Knight's Tale,6.6,907
41000000,10610,en,The Medallion,14.653718,15/08/2003,0,88,Released,The Medallion,5.3,281
40000000,745,en,The Sixth Sense,73.085576,6/08/1999,672806292,107,Released,The Sixth Sense,7.7,3147
42000000,49527,en,Man on a Ledge,34.041407,13/01/2012,46221189,102,Released,Man on a Ledge,6.2,925
41000000,73937,en,The Big Year,9.419726,13/10/2011,7448385,100,Released,The Big Year,5.6,248
8000000,1885,en,The Karate Kid,28.456572,22/06/1984,90815558,126,Released,The Karate Kid,6.9,891
40000000,168672,en,American Hustle,49.664128,12/12/2013,251171807,138,Released,American Hustle,6.8,2807
40000000,18240,en,The Proposal,36.238968,1/06/2009,317375031,108,Released,The Proposal,6.7,1804
70000000,10398,en,Double Jeopardy,19.439386,24/09/1999,177841558,105,Released,Double Jeopardy,6.2,278
40000000,165,en,Back to the Future Part II,43.345252,20/11/1989,332000000,108,Released,Back to the Future Part II,7.4,3829
40000000,240832,en,Lucy,115.241998,14/07/2014,126546825,89,Released,Lucy,6.3,5878
40000000,216015,en,Fifty Shades of Grey,98.755657,11/02/2015,571006128,125,Released,Fifty Shades of Grey,5.2,3254
38000000,12279,en,Spy Kids 3-D: Game Over,21.998734,25/07/2003,197011982,84,Released,Spy Kids 3-D: Game Over,4.7,511
40000000,1645,en,A Time to Kill,25.219805,24/07/1996,152266007,149,Released,A Time to Kill,7,509
40000000,11007,en,Cheaper by the Dozen,26.516624,24/12/2003,190212113,98,Released,Cheaper by the Dozen,6,699
40000000,193756,en,Lone Survivor,37.084384,24/12/2013,149295601,121,Released,Lone Survivor,7.4,1526
40000000,11287,en,A League of Their Own,21.661028,1/07/1992,107458785,128,Released,A League of Their Own,6.7,354
40000000,259693,en,The Conjuring 2,68.794673,13/05/2016,320170008,134,Released,The Conjuring 2,7,1949
40000000,37799,en,The Social Network,69.27822,30/09/2010,224920315,120,Released,The Social Network,7.1,3391
40000000,10184,en,He's Just Not That Into You,26.253357,6/02/2009,177259441,129,Released,He's Just Not That Into You,6.2,959
45000000,4257,en,Scary Movie 4,32.549282,13/04/2006,178262620,83,Released,Scary Movie 4,5.3,750
40000000,4234,en,Scream 3,24.992057,3/02/2000,161834276,116,Released,Scream 3,5.7,736
40000000,196,en,Back to the Future Part III,45.769562,25/05/1990,244527583,118,Released,Back to the Future Part III,7.1,2900
40000000,257091,en,Get Hard,36.301202,26/03/2015,111811453,100,Released,Get Hard,5.9,944
40000000,6114,en,Dracula,45.022964,13/11/1992,215862692,128,Released,Dracula,7.1,1056
40000000,24803,en,Julie & Julia,22.853006,6/08/2009,129540499,123,Released,Julie & Julia,6.6,560
40000000,109410,en,42,31.884559,12/04/2013,95020213,128,Released,42,6.8,787
40000000,1213,en,The Talented Mr. Ripley,31.385257,25/12/1999,128798265,139,Released,The Talented Mr. Ripley,7,767
40000000,100042,en,Dumb and Dumber To,67.767785,12/11/2014,169837010,110,Released,Dumb and Dumber To,5.4,1127
40000000,9036,en,Eight Below,24.287306,17/02/2006,120455994,120,Released,Eight Below,6.7,542
35000000,257211,en,The Intern,53.114573,24/09/2015,194564672,121,Released,The Intern,7.1,1881
40000000,323675,en,Ride Along 2,25.136082,14/01/2016,124827316,102,Released,Ride Along 2,6.1,555
40000000,9361,en,The Last of the Mohicans,37.776566,25/09/1992,75505856,112,Released,The Last of the Mohicans,7.1,732
40000000,1677,en,Ray,21.743321,29/10/2004,124731534,152,Released,Ray,7.2,467
40000000,187,en,Sin City,66.003433,1/04/2005,158733820,124,Released,Sin City,7.2,2691
40000000,7461,en,Vantage Point,24.862767,1/02/2008,151161491,90,Released,Vantage Point,6.2,716
